id,rank,fighter,dojo,district,birth_date,height,weight,Lat,Lng
27,M11e,Wakanojo,Magaki,Okinawa,4/13/73,191,155,37.1854839,140.4463218
24,M14e,Ganyu,Kitanoumi,Hyogo,8/6/70,185,172.5,35.2477713,-106.6916609
54,M12w,Ohinode,Tatsunami,Hyogo,1/19/70,184,151.5,35.2477713,-106.6916609
3,Y2w,Wakanohana,Futagoyama,Tokyo,1/20/71,178.5,124.5,43.0431112,141.3160186
12,M8w,Kotonishiki,Sadogatake,Gunma,6/8/68,175.5,128,35.7772605,139.9616965
36,M12w,Asanosho,Wakamatsu,Kanagawa,12/23/69,185.5,144.5,37.4899827,139.9277486
20,M12e,Shikishima,Tatsutagawa,Chiba,12/15/70,184.5,185.5,34.6119588,135.7106555
1,Y1e,Akebono,Azumazeki,U.S.A.,5/8/69,203.5,230.5,35.7585295,139.8680035
81,M14w,Wakakosho,Matsugane,Hyogo,3/4/75,184.5,176,34.9909613,137.5183365
25,M11e,Hamanoshima,Mihogaseki,Kumamoto,3/21/70,179,123,35.4958382,136.9181807
33,M9e,Terao,Izutsu,Kagoshima,2/2/63,185,114,35.0044519,135.7723814
16,M15e,Minatofuji,Minato,Gunma,7/6/68,186,168.5,35.6580813,139.7515077
62,M15e,Daishi,Oshiogawa,Ibaraki,8/23/68,182,172,36.3260317,136.5289653
116,M15w,Wakatsutomu,Matsugane,Wakayama,2/13/73,172,159.5,34.9909613,137.5183365
26,M13w,Higonoumi,Mihogaseki,Kumamoto,9/23/69,183.5,152.5,35.4958382,136.9181807
138,M15e,Sentoryu,Tomozuna,U.S.A.,7/16/69,176,140.5,33.5948329,130.3595555
69,M13w,Towanoyama,Dewanoumi,Tokyo,7/10/77,192,202,35.6923601,139.7926487
15,M14e,Oginishiki,Dewanoumi,Chiba,7/8/71,186,134,35.6923601,139.7926487
18,M14w,Takatoriki,Futagoyama,Hyogo,9/28/67,180,144,43.0431112,141.3160186
874,M14e,Hamanishiki,Oitekaze,Kumamoto,11/23/76,181,126,35.812615,139.814385
58,M15e,Oikari,Isenoumi,Kyoto,6/16/72,176,133,35.7256939,139.7456538
51,M11e,Daizen,Nishonoseki,Osaka,12/14/64,188,156,35.7230517,139.9683767
2,Y1w,Takanohana,Futagoyama,Tokyo,8/12/72,185,161,43.0431112,141.3160186
9,M15w,Akinoshima,Futagoyama,Hiroshima,3/16/67,175,148.6,43.0431112,141.3160186
22,M9e,Gojoro,Magaki,Miyagi,8/18/73,191,156.4,37.1854839,140.4463218
11,M14w,Aogiyama,Tokitsukaze,Shiga,2/18/70,181.5,146,35.6937382,139.7945024
4,Y1w,Musashimaru,Musashigawa,U.S.A.,5/2/71,192,231.5,35.7127733,139.8643459
88,M15e,Tamarikido,Kataonami,Tokyo,4/19/74,184.5,138.3,34.1801053,135.1744606
47,M13w,Chiyotenzan,Kokonoe,Osaka,2/6/76,183.5,138,33.2285239,131.1888843
87,M16e,Wakanoyama,Musashigawa,Wakayama,5/12/72,178,164,35.7127733,139.8643459
64,M17e,Yotsukasa,Irumagawa,Mie,9/25/73,177.5,151.5,35.8506694,139.4084837
5,M13e,Takanonami,Takanohana,Aomori,10/27/71,196,163.5,35.8506694,139.4084837
34,M14w,Asanowaka,Takasago,Aichi,12/11/69,176,140,34.7661005,134.7906014
145,M17e,Kobo,Miyagino,Kagoshima,8/18/73,183,132,38.2789376,140.9508565
43,M12w,Kinkaiyama,Dewanoumi,Nagasaki,1/7/76,184,163,35.6923601,139.7926487
6,O2e,Musoyama,Musashigawa,Ibaraki,2/14/72,184,175,35.7127733,139.8643459
225,M12w,Takanotsuru,Naruto,Kagoshima,6/18/76,188,174.8,34.1726034,134.608866
92,M15w,Harunoyama,Matsugane,Aichi,8/2/76,188,177,34.9909613,137.5183365
29,M12w,Kotoryu,Sadogatake,Hyogo,3/2/72,183,139,35.7772605,139.9616965
129,M14w,Hayateumi,Oitekaze,Aomori,7/5/75,185,118.8,35.812615,139.814385
38,M17w,Toki,Takasago,Chiba,7/4/74,189,169,34.7661005,134.7906014
71,M10w,Takanowaka,Naruto,Nagasaki,4/2/76,190.5,148,34.1726034,134.608866
14,M11w,Kotonowaka,Sadogatake,Yamagata,5/15/68,191,174,35.7772605,139.9616965
72,M13e,Tochisakae,Kasugano,Saga,6/27/74,183,152,37.1520331,138.2314092
99,M15e,Shunketsu,Hanaregoma,Saitama,7/13/76,177,121,37.1520331,138.2314092
287,M15w,Wakatoba,Oguruma,Tokyo,6/15/77,175.5,138,44.6167739,142.2331405
105,M15w,Buyuzan,Musashigawa,Aichi,7/29/74,181,164,35.7127733,139.8643459
122,M16w,Daimanazuru,Asahiyama,Nara,1/16/77,188.5,164.5,43.7684103,142.480038
204,M16e,Ryuho,Michinoku,Okinawa,6/18/77,183,149,39.1362124,141.1499861
35,M10e,Kyokushuzan,Oshima,Mongolia,3/8/73,182,139.2,34.7408836,139.3856256
1243,M15w,Katayama,Onomatsu,Shizuoka,9/6/79,179,136.5,35.670438,140.0347887
113,M15e,Asofuji,Ajigawa,Aomori,1/17/76,179,124.5,34.6788012,135.4671712
96,M16w,Jumonji,Michinoku,Aomori,6/9/76,185,159,39.1362124,141.1499861
19,O2w,Tochiazuma,Tamanoi,Tokyo,11/9/76,180,150.2,37.5447602,140.3378622
97,M13w,Tochinohana,Kasugano,Iwate,2/28/73,184.5,137.6,37.1520331,138.2314092
175,M15e,Ushiomaru,Azumazeki,Shizuoka,5/11/78,176,166.1,35.7585295,139.8680035
50,M7w,Tokitsuumi,Tokitsukaze,Nagasaki,11/8/73,184,132.7,35.6937382,139.7945024
70,M14e,Kitazakura,Kitanoumi,Hiroshima,12/15/71,189,169,35.2477713,-106.6916609
6766,M13w,Ichihara,Kise,Aichi,8/16/84,182,182.5,26.5334687,127.9413748
40,M14e,Kaiho,Hakkaku,Aomori,4/17/73,177,122,49.280869,-123.0019651
924,M15e,Wakakirin,Oguruma,Hyogo,9/21/83,186.5,133,44.6167739,142.2331405
6620,M15w,Sakaizawa,Onoe,Saitama,4/11/83,189,162.5,35.1707418,136.8964451
63,M16e,Otsukasa,Irumagawa,Hyogo,2/18/71,175,147.1,35.8506694,139.4084837
1031,M16w,Ryuo,Miyagino,Mongolia,3/11/83,176,145.1,38.2789376,140.9508565
1402,M15e,Hakurozan,Kitanoumi,Russia,2/6/82,188,133,35.2477713,-106.6916609
6527,M1w,Wakanoho,Magaki,Russia,7/8/88,195,156,37.1854839,140.4463218
17,M11w,Tamakasuga,Kataonami,Ehime,1/7/72,181.5,151.4,34.1801053,135.1744606
1421,M3w,Roho,Otake,Russia,3/9/80,192,146,34.2376953,132.2221691
107,M12w,Kasuganishiki,Kasugano,Chiba,8/22/75,187,147.3,37.1520331,138.2314092
898,M6w,Chiyohakuho,Kokonoe,Kumamoto,4/21/83,181.5,135,33.2285239,131.1888843
31,M13w,Dejima,Musashigawa,Ishikawa,3/21/74,180,160.3,35.7127733,139.8643459
2834,M15w,Futeno,Dewanoumi,Kumamoto,8/28/80,180.5,157.2,35.6923601,139.7926487
6769,M15e,Yamamotoyama,Onoe,Saitama,5/8/84,190,251.5,35.1707418,136.8964451
