fighter_name,image_url
Hamanoshima,https://static.wikia.nocookie.net/sumowrestling/images/9/97/Hamanoshima-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210402124236
Terao,https://upload.wikimedia.org/wikipedia/commons/5/53/Terao_2011_Jan.JPG
Minatofuji,https://upload.wikimedia.org/wikipedia/commons/d/dc/Minatofuji_2010.JPG
Daishi,https://wiki.mechlivinglegends.net/images/thumb/6/6d/Daishi.png/350px-Daishi.png
Wakatsutomu,https://static.wikia.nocookie.net/sumowrestling/images/0/06/Wakatsutomu-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210216174430
Higonoumi,https://images-na.ssl-images-amazon.com/images/I/31bfs7F9V8L._AC_.jpg
Sentoryu,https://static.wikia.nocookie.net/sumowrestling/images/8/87/Sentoryu-main2.png/revision/latest?cb=20210218010046
Towanoyama,https://upload.wikimedia.org/wikipedia/commons/a/a7/Towanoyama_08_Sep.JPG
Oginishiki,https://static.wikia.nocookie.net/sumowrestling/images/a/a1/Oginishiki-main.jpg/revision/latest/scale-to-width-down/250?cb=20210402210439
Takatoriki,https://static.wikia.nocookie.net/sumowrestling/images/8/83/Takatoriki-main.jpg/revision/latest?cb=20210408012543
Hamanishiki,http://www.samurai-goldfish.net/kingyocatalog/hamanishiki.jpg
Oikari,https://www.wtip.org/sites/default/files/images/20191202_114226_0.jpg
Daizen,https://static.wikia.nocookie.net/crowsxworst/images/8/8f/Daizen_color_30th.png/revision/latest/top-crop/width/360/height/450?cb=20200821122351
Takanohana,https://upload.wikimedia.org/wikipedia/commons/e/ec/Takanohana.jpg
Akinoshima,https://upload.wikimedia.org/wikipedia/commons/c/c6/Akinoshima_2012_Jan.JPG
Gojoro,https://www.e-scooter.co/i/a6/25/a6/e279ad4daf0a53404b9aca4c43.jpg
Aogiyama,https://upload.wikimedia.org/wikipedia/commons/9/95/Aoiyama_2012_Jan.JPG
Musashimaru,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Musashimaru_Koyo-may24-2007.jpg/220px-Musashimaru_Koyo-may24-2007.jpg
Tamarikido,https://www.govisitcostarica.com/images/uploads/detail/mob/tamarindo-diria-beach-resort-beach.jpg
Chiyotenzan,https://static.wikia.nocookie.net/sumowrestling/images/9/9a/Chiyotenzan-main.jpg/revision/latest/scale-to-width-down/250?cb=20210327210523
Wakanoyama,https://upload.wikimedia.org/wikipedia/commons/3/3c/Takanoyama_2008_Sep.jpg
Yotsukasa,https://static.wikia.nocookie.net/hanakokun/images/b/b2/Tsukasa%27s_anime_design.png/revision/latest?cb=20200224204657
Takanonami,https://upload.wikimedia.org/wikipedia/commons/4/45/Takanonami_2015_March.JPG
Asanowaka,https://upload.wikimedia.org/wikipedia/commons/d/dc/Asanowaka_2010.JPG
Kobo,https://cdn.shopify.com/s/files/1/0834/0561/products/Frost_pair_EN.png?v=1578681274
Kinkaiyama,https://static.wikia.nocookie.net/sumowrestling/images/9/96/Kinkaiyama-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210329182717
Musoyama,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Musoyama_09_Sep.JPG/1200px-Musoyama_09_Sep.JPG
Takanotsuru,https://thehippyseedcompany.com/wp-content/uploads/2019/11/Takanotsume-1ws.jpg
Harunoyama,https://static.wikia.nocookie.net/sumowrestling/images/4/42/Harunoyama-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210214055823
Kotoryu,http://ninjutsulondon.com/wp-content/uploads/2016/12/koto-ryu-e1481226661141.jpg
Hayateumi,https://static.wikia.nocookie.net/sumowrestling/images/9/9a/Hayateumi-main.jpg/revision/latest/scale-to-width-down/250?cb=20210219011253
Toki,https://images-na.ssl-images-amazon.com/images/I/916PU2oltdL._SL1500_.jpg
Takanowaka,https://upload.wikimedia.org/wikipedia/commons/b/ba/Takanowaka_2008.jpg
Kotonowaka,https://upload.wikimedia.org/wikipedia/commons/c/cc/Kotonowaka_2019_Sep_tournament.jpg
Tochisakae,https://upload.wikimedia.org/wikipedia/commons/e/e1/Tochisakae_2010_Sept.jpg
Shunketsu,https://static.wikia.nocookie.net/sumowrestling/images/4/4b/Shunketsu_99.jpg/revision/latest/top-crop/width/360/height/450?cb=20210213230249
Wakatoba,https://www.wakatobi.com/fileadmin/wakatobi/Images/The_Resort/resort-intro-dl_03.jpg
Buyuzan,https://static.wikia.nocookie.net/sumowrestling/images/e/ea/Buyuzan2000.jpg/revision/latest/scale-to-width-down/250?cb=20210216022225
Daimanazuru,https://upload.wikimedia.org/wikipedia/commons/c/c9/Daimanazuru_2010_Jan.JPG
Ryuho,https://static.wikia.nocookie.net/saintseiya/images/d/d4/Ryuho.jpg/revision/latest/top-crop/width/360/height/450?cb=20120503192015
Kyokushuzan,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Kyokushuuzan2006.11.jpg/1200px-Kyokushuuzan2006.11.jpg
Katayama,https://upload.wikimedia.org/wikipedia/commons/6/6e/Ukyo_Katayama_2008.jpg
Asofuji,https://cf.bstatic.com/images/hotel/max1024x768/597/59738766.jpg
Jumonji,https://static.wikia.nocookie.net/eyeshield21/images/0/09/Kazuki_Jumonji_Anime.png/revision/latest?cb=20140713173736
Tochiazuma,https://upload.wikimedia.org/wikipedia/commons/4/42/Tochiazuma_Daisuke.jpg
Tochinohana,https://upload.wikimedia.org/wikipedia/commons/4/4e/Tochinoshin.jpg
Ushiomaru,https://upload.wikimedia.org/wikipedia/commons/3/3f/Ushiomaru_08_Sep.jpg
Tokitsuumi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Tokitsuumi_2010.JPG/1200px-Tokitsuumi_2010.JPG
Kitazakura,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Kitazakura.JPG/220px-Kitazakura.JPG
Ichihara,https://upload.wikimedia.org/wikipedia/commons/d/db/Ichihara_montage.jpg
Kaiho,https://live.staticflickr.com/796/40747666054_b8bf56ee4f_b.jpg
Wakakirin,https://upload.wikimedia.org/wikipedia/commons/3/3a/Wakakirin_08_Sep.jpg
Sakaizawa,https://upload.wikimedia.org/wikipedia/commons/1/17/Sakaizawa_2010_Jan.JPG
Otsukasa,https://static.wikia.nocookie.net/hanakokun/images/b/b2/Tsukasa%27s_anime_design.png/revision/latest?cb=20200224204657
Ryuo,https://images-na.ssl-images-amazon.com/images/I/81YlmakqDPL._AC_SL1500_.jpg
Hakurozan,https://static.wikia.nocookie.net/sumowrestling/images/b/bc/Hakurozan-main.jpg/revision/latest?cb=20210213155219
Wakanoho,https://upload.wikimedia.org/wikipedia/commons/e/e5/Wakanoho_2008.jpg
Tamakasuga,https://upload.wikimedia.org/wikipedia/commons/f/f0/Tamakasuga_08_Sep.jpg
Roho,https://www.spinlife.com/images/product/50373.png
Kasuganishiki,https://upload.wikimedia.org/wikipedia/commons/0/05/Kasuganishiki_08_Sep.jpg
Chiyohakuho,https://upload.wikimedia.org/wikipedia/commons/1/15/Chiyohakuho_08.jpg
Dejima,https://www.touristinjapan.com/wp-content/uploads/2020/01/nagasaki-dejima-island-small.jpg
